"model","method","S","diff","alpha","volscl","optmized_value","convergence","C0","beta","q10_rh"
"conc_ACCESS1-0","conc_temp-heatfluxRange",4.3248663231499,3.79021001601534,2.16512301659146,1.27641727569793,0.475039884159051,0,NA,NA,NA
"conc_ACCESS1-3","conc_temp-heatfluxRange",3.97895766089507,4.54994327277289,2.00965863017805,1.27355222668003,0.47207263703968,0,NA,NA,NA
"conc_CanESM2","conc_temp-heatfluxRange",5.14841954122714,2.44460474939453,1.84886480964525,1.39551041511595,0.525684894738238,0,NA,NA,NA
"conc_CCSM4","conc_temp-heatfluxRange",4.1754727418462,4.14967787238902,1.29028709829006,1.04435303013556,0.534340820610954,0,NA,NA,NA
"conc_CESM1-BGC","conc_temp-heatfluxRange",3.98548560722742,4.19886330878721,1.26150856130309,1.07054165308939,0.464486915179924,0,NA,NA,NA
"conc_CESM1-CAM5","conc_temp-heatfluxRange",4.61100304577473,3.72039805992156,1.92601657796011,1.07538388254426,0.455291459401305,0,NA,NA,NA
"conc_CESM1-WACCM","conc_temp-heatfluxRange",3.28274682047441,4.41375111652572,0.973073398604796,0.616363303892183,0.431952676030189,0,NA,NA,NA
"conc_CMCC-CESM","conc_temp-heatfluxRange",3.63120939678878,3.73876731624767,2.43611547626514,0.194511951927356,0.57323982295311,0,NA,NA,NA
"conc_CMCC-CM","conc_temp-heatfluxRange",3.76445139545398,3.01886334263494,1.79061553534735,-0.366857597898394,0.440970587894345,0,NA,NA,NA
"conc_CNRM-CM5","conc_temp-heatfluxRange",3.61258479588623,5.3917249299845,1.34699062460201,1.0632613959425,0.461849517729992,0,NA,NA,NA
"conc_CSIRO-Mk3-6-0","conc_temp-heatfluxRange",4.00915490409755,4.9775869869827,1.60920409625522,1.62232536514382,0.451943154624083,0,NA,NA,NA
"conc_CSIRO-Mk3L-1-2","conc_temp-heatfluxRange",3.60052368804716,18.3359358528951,1.13001435738454,1.09127958467239,0.383222649996897,0,NA,NA,NA
"conc_EC-EARTH","conc_temp-heatfluxRange",4.13337307863462,4.31212722178047,1.92358652220666,1.43939561426215,0.565178271190739,0,NA,NA,NA
"conc_GFDL-CM3","conc_temp-heatfluxRange",5.10560714223744,3.00551451202303,2.10325406622639,1.18094711757068,0.488878958906325,0,NA,NA,NA
"conc_GFDL-ESM2G","conc_temp-heatfluxRange",2.69919044501703,10.846311043739,1.25529900888014,2.06152659699179,0.43785743796113,0,NA,NA,NA
"conc_GISS-E2-H-CC","conc_temp-heatfluxRange",3.42090018618565,6.2844407280408,0.460733954675528,1.81806780079544,0.409452235840911,0,NA,NA,NA
"conc_GISS-E2-R-CC","conc_temp-heatfluxRange",2.87758173594051,8.86410993057993,1.07710295319218,1.31376326633528,0.403596088259764,0,NA,NA,NA
"conc_GISS-E2-R","conc_temp-heatfluxRange",3.16172576974829,7.62638477612196,1.19466319387583,1.45571839946501,0.422156876810668,0,NA,NA,NA
"conc_inmcm4","conc_temp-heatfluxRange",2.6681726312195,10.3722425686441,1.16379272748357,0.586464403858172,0.39343629583841,0,NA,NA,NA
"conc_IPSL-CM5A-MR","conc_temp-heatfluxRange",4.55265213346665,3.40814922939086,1.13761078971405,1.11473510492525,0.451018568764806,0,NA,NA,NA
"conc_IPSL-CM5B-LR","conc_temp-heatfluxRange",3.52495290126818,5.86057229409637,0.65345720148578,1.65961791788786,0.434458489030061,0,NA,NA,NA
"conc_MIROC-ESM-CHEM","conc_temp-heatfluxRange",5.22462304418731,2.72830119969779,1.7295324140677,0.918801786883193,0.465142361506754,0,NA,NA,NA
"conc_MIROC-ESM","conc_temp-heatfluxRange",5.106907365073,2.86296986005497,1.58684643211246,1.36246876160739,0.453419315979029,0,NA,NA,NA
"conc_MIROC5","conc_temp-heatfluxRange",3.50155725119518,6.45705974605603,1.43510204554879,1.48588950333847,0.469205726379944,0,NA,NA,NA
"conc_MPI-ESM-LR","conc_temp-heatfluxRange",3.83599792980976,4.14259597334151,1.46625633699474,1.07676410102552,0.514790335285181,0,NA,NA,NA
