"driven","model","sym_method","S","alpha","volscl","optmized_value","convergence","diff","C0","q10_rh","beta"
"conc","GFDL-CM3","conc_clim_temp",6.41652076939789,2.02926631081426,1.34939264217929,0.115239851050228,0,4.45,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",7.03403918711811,2.01611417807873,1.40551739891207,0.116138099997875,0,5,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",1.66670752190051,1.86739659598205,0.610296553029715,0.0517105862301497,0,0.05,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",1.86452073563004,1.84773214168664,0.732541888469806,0.0492931414788075,0,0.6,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",1.98903067067799,1.8344813451532,0.803895572667565,0.0482635239959582,0,1.15,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.09627989042279,1.82324642848725,0.861231780252161,0.0475908573950117,0,1.7,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.19527342765951,1.81320644332641,0.910862152104915,0.0471015687992476,0,2.25,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.28978233320229,1.80425419144963,0.955312762425089,0.0467261519549287,0,2.8,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.3818368230943,1.79574520869736,0.995380656895091,0.0464286713466783,0,3.35,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.47254807576065,1.78794431282909,1.03231502055103,0.0461878580068202,0,3.9,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.5627812747178,1.78071164085478,1.06651952528829,0.0459900399254732,0,4.45,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_temp",2.65296372711496,1.7738203019967,1.09883987298229,0.0458259629799828,0,5,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",2.58164418020925,1.58085319309775,0.352153401194861,0.476426798876293,0,0.05,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.16625045547137,1.57942089493599,0.535055904451633,0.304186584948633,0,0.6,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.44272346859483,1.50868751882579,0.649137524402555,0.244965525796358,0,1.15,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.61889210101776,1.42970418558243,0.737235992874787,0.214298012766325,0,1.7,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.73588558275824,1.34902020453546,0.810048675895281,0.197385022179611,0,2.25,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.81225664583011,1.2693132199964,0.871542332368905,0.188331718089759,0,2.8,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.85916556206098,1.19112583723158,0.924682873005297,0.184175659240432,0,3.35,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.88419153036515,1.11505041136347,0.970722363027367,0.183234053260668,0,3.9,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.89179013113367,1.04036303540492,1.01123571896284,0.184473587656838,0,4.45,NA,NA,NA
"conc","CCSM4","conc_clim_tempHF",3.88680222328125,0.967995417336657,1.04800658409035,0.18722394223166,0,5,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.32279280974747,1.84273761389531,1.31833049723166,0.511062000011177,0,0.05,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",5.49447246002627,2.45027550061032,0.774706185609856,0.715575146141814,0,0.6,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.99280741648827,2.28053418019268,0.882924000847059,0.556194923727296,0,1.15,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.91872990498077,2.20394993388226,0.987933836637984,0.51162228413252,0,1.7,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",5.07324969171768,2.16948842151424,1.08605226521953,0.495011261353404,0,2.25,NA,NA,NA
