"year","variable","ensemble","model","experiment","value","problem"
1943,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.835906326770782,NA
1944,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10225987434387,NA
1945,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.766337633132935,NA
1946,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.00311855475108,NA
1947,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.895232160886129,NA
1948,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.821792503197988,NA
1949,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.12027378877004,NA
1950,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.567320624987284,NA
1951,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.601144472757975,NA
1952,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.838930487632751,NA
1953,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.955091993014018,NA
1954,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.6128901441892,NA
1955,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.703080614407857,NA
1956,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.54086331526438,NA
1957,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.35222040613492,NA
1958,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.801287611325582,NA
1959,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.723905682563782,NA
1960,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.875876059134801,NA
1961,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.906159579753876,NA
1962,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.947060247262319,NA
1963,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.95916822552681,NA
1964,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.201949417591095,NA
1965,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.937176545461019,NA
1966,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.29430001974106,NA
1967,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.35723149776459,NA
1968,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.02054913838704,NA
1969,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.32976184040308,NA
1970,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.91689521074295,NA
1971,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.2468322912852,NA
1972,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.23485115170479,NA
1973,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.21213448047638,NA
1974,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.08117328087489,NA
1975,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.482442498207092,NA
1976,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.850109179814657,NA
1977,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.06207280357679,NA
1978,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.11066404233376,NA
1979,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.26458748181661,NA
1980,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.39557001988093,NA
1981,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.09389344851176,NA
1982,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.0740307668844859,NA
1983,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.084320326646169,NA
1984,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.49376353621483,NA
1985,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.66523345311483,NA
1986,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.53587985038757,NA
1987,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.52348925669988,NA
1988,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.87072140475114,NA
1989,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84948364893595,NA
1990,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.38788110017776,NA
1991,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.0959872274349133,NA
1992,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.562431732813517,NA
1993,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.70759782195091,NA
1994,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.01689798633258,NA
1995,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.95506775379181,NA
1996,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.90536667903264,NA
1997,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.969185034434,NA
1998,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84057140350342,NA
1999,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.34017964204152,NA
2000,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.3893204331398,NA
2001,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.68972394863764,NA
2002,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.15071903665861,NA
2003,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.0120459596316,NA
2004,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84950192769368,NA
2005,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.49929515769084,NA
2006,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.9374615252018,NA
2007,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.71523169676463,NA
2008,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.74435593684514,NA
2009,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.71285092830658,NA
2010,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.03681862850984,NA
2011,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.68215850989024,NA
2012,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.65266524751981,NA
1850,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.640337626139323,NA
1851,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.775529404481252,NA
1852,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.379976511001587,NA
1853,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.741310914357503,NA
1854,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.917876223723094,NA
1855,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.46894379456838,NA
1856,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.289202809333801,NA
