"year","variable","ensemble","model","experiment","value","unit"
1971,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.2468322912852,"W/m2"
1972,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.23485115170479,"W/m2"
1973,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.21213448047638,"W/m2"
1974,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.08117328087489,"W/m2"
1975,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.482442498207092,"W/m2"
1976,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.850109179814657,"W/m2"
1977,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.06207280357679,"W/m2"
1978,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.11066404233376,"W/m2"
1979,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.26458748181661,"W/m2"
1980,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.39557001988093,"W/m2"
1981,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.09389344851176,"W/m2"
1982,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.0740307668844859,"W/m2"
1983,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.084320326646169,"W/m2"
1984,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.49376353621483,"W/m2"
1985,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.66523345311483,"W/m2"
1986,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.53587985038757,"W/m2"
1987,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.52348925669988,"W/m2"
1988,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.87072140475114,"W/m2"
1989,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84948364893595,"W/m2"
1990,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.38788110017776,"W/m2"
1991,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.0959872274349133,"W/m2"
1992,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.562431732813517,"W/m2"
1993,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.70759782195091,"W/m2"
1994,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.01689798633258,"W/m2"
1995,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.95506775379181,"W/m2"
1996,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.90536667903264,"W/m2"
1997,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.969185034434,"W/m2"
1998,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84057140350342,"W/m2"
1999,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.34017964204152,"W/m2"
2000,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.3893204331398,"W/m2"
2001,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.68972394863764,"W/m2"
2002,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.15071903665861,"W/m2"
2003,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.0120459596316,"W/m2"
2004,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.84950192769368,"W/m2"
2005,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.49929515769084,"W/m2"
2006,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.9374615252018,"W/m2"
2007,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.71523169676463,"W/m2"
2008,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.74435593684514,"W/m2"
2009,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.71285092830658,"W/m2"
2010,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",2.03681862850984,"W/m2"
2011,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.68215850989024,"W/m2"
2012,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.65266524751981,"W/m2"
1850,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.640337626139323,"W/m2"
1851,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.775529404481252,"W/m2"
1852,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.379976511001587,"W/m2"
1853,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.741310914357503,"W/m2"
1854,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.917876223723094,"W/m2"
1855,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.46894379456838,"W/m2"
1856,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.289202809333801,"W/m2"
1857,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.489448398351669,"W/m2"
1858,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.630253573258718,"W/m2"
1859,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.47745672861735,"W/m2"
1860,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.830749183893204,"W/m2"
1861,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.38618431488673,"W/m2"
1862,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.949735720952352,"W/m2"
1863,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.00292205810546875,"W/m2"
1864,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.762745281060537,"W/m2"
